label_index,label,linear_only_svm,tree,xgboostrf
0,NOT_Neoplasms,"{'C': 1.6340405032440615, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 4895, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 3758, 'tol': 0.9195491088210264, 'verbose': 0}","{'ccp_alpha': 0.20784594791943392, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 7, 'max_features': 0.830877608627601, 'max_leaf_nodes': 44, 'min_impurity_decrease': 0.21610571386692934, 'min_samples_leaf': 0.06932904293764952, 'min_samples_split': 0.6730192028159744, 'min_weight_fraction_leaf': 0.0, 'random_state': 3758, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.26399303267750357, 'reg_lambda': 2.9182253595901093, 'subsample': 0.7239916513561949, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.6205867718366005, 'gamma': 6.91401911, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 9, 'max_depth': 4, 'min_child_weight': 7, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 49, 'n_jobs': 6, 'num_parallel_tree': 49, 'random_state': 3758, 'reg_alpha': 3.410005899770461, 'scale_pos_weight': 0.2635044506767467, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 3758, 'feature_selector': 'cyclic', 'grow_policy': 'depthwise', 'max_leaves': 23, 'min_split_loss': 6.914019060308132, 'rate_drop': 0.6868083750381638}"
1,Benign neoplasms,"{'C': 35.09054944477248, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1803, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 1, 'tol': 0.2068297841566383, 'verbose': 0}","{'ccp_alpha': 0.017846798735113547, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 0.22933768147934985, 'max_leaf_nodes': 95, 'min_impurity_decrease': 0.014543650305201106, 'min_samples_leaf': 0.03134789292905682, 'min_samples_split': 0.019251705693303145, 'min_weight_fraction_leaf': 0.0, 'random_state': 1, 'splitter': 'random'}","{'colsample_bynode': 0.8, 'learning_rate': 0.22794977808380754, 'reg_lambda': 4.044522399200288, 'subsample': 0.9151944978263753, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.6733743133344007, 'gamma': 3.69510293, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 6, 'max_depth': 5, 'min_child_weight': 3, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 68, 'n_jobs': 6, 'num_parallel_tree': 68, 'random_state': 1, 'reg_alpha': 2.1595780647976683, 'scale_pos_weight': 190.88888888888889, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 1, 'feature_selector': 'cyclic', 'grow_policy': 'depthwise', 'max_leaves': 48, 'min_split_loss': 3.6951029080346163, 'rate_drop': 0.16462162708296083}"
3,Malignant neoplasm of breast,"{'C': 4.254517954693492, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 4805, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 678, 'tol': 0.05580698901556133, 'verbose': 0}","{'ccp_alpha': 0.42797848488392937, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.9295198587273511, 'max_leaf_nodes': 62, 'min_impurity_decrease': 0.34818156438090875, 'min_samples_leaf': 0.01590261610685284, 'min_samples_split': 0.46660029673513737, 'min_weight_fraction_leaf': 0.0, 'random_state': 678, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.26838559163192727, 'reg_lambda': 1.1021362645078754, 'subsample': 0.8454557832903595, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bytree': 0.6414541295239533, 'gamma': 9.70167065, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 4, 'max_depth': 5, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 119, 'n_jobs': 6, 'num_parallel_tree': 119, 'random_state': 678, 'reg_alpha': 2.2894778266649136, 'scale_pos_weight': 37.954887218045116, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 678, 'feature_selector': 'cyclic', 'grow_policy': 'lossguide', 'max_leaves': 43, 'min_split_loss': 9.701671076575948, 'rate_drop': 0.8943829901482679}"
4,Malignant neoplasms of bone and articular cartilage,"{'C': 1.1666459837373422, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 4742, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 64, 'tol': 0.8385803736902695, 'verbose': 0}","{'ccp_alpha': 0.2048701534135663, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'max_features': 0.5690220065225, 'max_leaf_nodes': 88, 'min_impurity_decrease': 0.0006938207903217641, 'min_samples_leaf': 0.07399159373174835, 'min_samples_split': 0.3350559603015131, 'min_weight_fraction_leaf': 0.0, 'random_state': 64, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.3626448511567839, 'reg_lambda': 4.649277244444464, 'subsample': 0.6597441428651158, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.5353593408059213, 'gamma': 0.305279344, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 2, 'max_depth': 2, 'min_child_weight': 6, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 121, 'n_jobs': 6, 'num_parallel_tree': 121, 'random_state': 64, 'reg_alpha': 3.409664559889625, 'scale_pos_weight': 470.0, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 64, 'feature_selector': 'shuffle', 'grow_policy': 'depthwise', 'max_leaves': 61, 'min_split_loss': 0.3052793464458094, 'rate_drop': 0.37721902239516475}"
5,Malignant neoplasms of digestive organs,"{'C': 1.0503670580324296, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 4944, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 245, 'tol': 0.029172370207474433, 'verbose': 0}","{'ccp_alpha': 0.05367648825029717, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.49339983326356207, 'max_leaf_nodes': 22, 'min_impurity_decrease': 0.06360033696363898, 'min_samples_leaf': 0.014695310504371006, 'min_samples_split': 0.9069215589356554, 'min_weight_fraction_leaf': 0.0, 'random_state': 245, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.44991668212419017, 'reg_lambda': 2.17601920063464, 'subsample': 0.5670434733081047, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bytree': 0.7823224756061375, 'gamma': 8.81383038, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 3, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 120, 'n_jobs': 6, 'num_parallel_tree': 120, 'random_state': 245, 'reg_alpha': 3.067648039155036, 'scale_pos_weight': 23.789473684210527, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 245, 'feature_selector': 'shuffle', 'grow_policy': 'lossguide', 'max_leaves': 33, 'min_split_loss': 8.81383056621961, 'rate_drop': 0.15822332533156905}"
6,"Malignant neoplasms of eye, brain and other parts of central nervous system","{'C': 2.5508497539774018, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 3617, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 90000, 'tol': 0.645247526582617, 'verbose': 0}","{'ccp_alpha': 0.19574108470160073, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'max_features': 0.5995713686733495, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.053102556753393815, 'min_samples_leaf': 0.005555797179068733, 'min_samples_split': 0.34600013070252544, 'min_weight_fraction_leaf': 0.0, 'random_state': 90000, 'splitter': 'random'}","{'colsample_bynode': 0.8, 'learning_rate': 0.05388573497241027, 'reg_lambda': 2.756074329420025, 'subsample': 0.8975052058717471, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bytree': 0.5166120047741756, 'gamma': 5.83758831, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 8, 'max_depth': 5, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 192, 'n_jobs': 6, 'num_parallel_tree': 192, 'random_state': 90000, 'reg_alpha': 0.32026929137262594, 'scale_pos_weight': 135.3421052631579, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 90000, 'feature_selector': 'cyclic', 'grow_policy': 'depthwise', 'max_leaves': 63, 'min_split_loss': 5.837588288128765, 'rate_drop': 0.1045319653427231}"
7,Malignant neoplasms of female genital organs,"{'C': 11.686551624919595, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 4699, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 128909, 'tol': 0.11028255206074382, 'verbose': 0}","{'ccp_alpha': 0.4447072322829901, 'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 3, 'max_features': 0.9916769133159563, 'max_leaf_nodes': 7, 'min_impurity_decrease': 0.3228435451997046, 'min_samples_leaf': 0.07410212693413443, 'min_samples_split': 0.6753473078191766, 'min_weight_fraction_leaf': 0.0, 'random_state': 128909, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.4064824509557811, 'reg_lambda': 1.203439183115949, 'subsample': 0.9373728492285841, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.7927540908127706, 'gamma': 2.98471665, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 9, 'max_depth': 5, 'min_child_weight': 7, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 179, 'n_jobs': 6, 'num_parallel_tree': 179, 'random_state': 128909, 'reg_alpha': 0.14582040861588313, 'scale_pos_weight': 61.42168674698795, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 128909, 'feature_selector': 'shuffle', 'grow_policy': 'depthwise', 'max_leaves': 45, 'min_split_loss': 2.9847167078378485, 'rate_drop': 0.8376994062007258}"
8,"Malignant neoplasms of ill-defined, secondary and unspecified sites","{'C': 1.0417333470115895, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 3343, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 7777, 'tol': 0.312619318867857, 'verbose': 0}","{'ccp_alpha': 0.12516958314508098, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.8640680506480937, 'max_leaf_nodes': 82, 'min_impurity_decrease': 0.04364328001676021, 'min_samples_leaf': 0.07514093367915287, 'min_samples_split': 0.3970765171451869, 'min_weight_fraction_leaf': 0.0, 'random_state': 7777, 'splitter': 'best'}","{'colsample_bynode': 0.8, 'learning_rate': 0.013825158155975046, 'reg_lambda': 3.752142604665987, 'subsample': 0.5909065249342574, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.7765135980966957, 'gamma': 4.01907396, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 10, 'max_depth': 6, 'min_child_weight': 64, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 160, 'n_jobs': 6, 'num_parallel_tree': 160, 'random_state': 7777, 'reg_alpha': 1.9687598511340083, 'scale_pos_weight': 37.095588235294116, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 7777, 'feature_selector': 'cyclic', 'grow_policy': 'lossguide', 'max_leaves': 61, 'min_split_loss': 4.019073803884632, 'rate_drop': 0.8177497174618298}"
9,Malignant neoplasms of independent (primary) multiple sites,"{'C': 19.283377017404998, 'class_weight': 'balanced', 'dual': 'auto', 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1033, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 803, 'tol': 0.7922515472554413, 'verbose': 0}","{'ccp_alpha': 0.1611877820030479, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.9787712426600362, 'max_leaf_nodes': 2, 'min_impurity_decrease': 0.10035341708714374, 'min_samples_leaf': 0.005212728334266004, 'min_samples_split': 0.32932894121229916, 'min_weight_fraction_leaf': 0.0, 'random_state': 803, 'splitter': 'random'}","{'colsample_bynode': 0.8, 'learning_rate': 0.4211435046210234, 'reg_lambda': 2.2381075369782297, 'subsample': 0.8342767605068059, 'objective': 'binary:hinge', 'base_score': 0.5, 'booster': 'dart', 'colsample_bylevel': 1, 'colsample_bytree': 0.5922530814488617, 'gamma': 7.85640907, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'max_delta_step': 2, 'max_depth': 2, 'min_child_weight': 48, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 122, 'n_jobs': 6, 'num_parallel_tree': 122, 'random_state': 803, 'reg_alpha': 0.898928419229277, 'scale_pos_weight': 1294.25, 'tree_method': 'hist', 'validate_parameters': False, 'verbosity': None, 'eval_metric': 'aucpr', 'seed': 803, 'feature_selector': 'cyclic', 'grow_policy': 'lossguide', 'max_leaves': 41, 'min_split_loss': 7.856409241792564, 'rate_drop': 0.44737092329791406}"
